date,ticker,close
2026-09-17,NVDA,219.63
2026-09-17,AAPL,332.62
2026-09-17,GOOGL,348.0
2026-09-17,GOOG,344.34
2026-09-17,MSFT,497.42
2026-09-17,AMZN,252.54
2026-09-17,SPCX,153.775
2026-09-17,META,674.62
2026-09-17,AVGO,348.915
2026-09-17,TSLA,371.305
2026-09-17,BRK-A,766978.83
2026-09-17,BRK-B,510.7
2026-09-17,MU,982.205
2026-09-17,LLY,1145.2648
2026-09-17,JPM,346.67
2026-09-17,AMD,538.545
2026-09-17,WMT,106.645
2026-09-17,XOM,161.705
2026-09-17,V,369.5218
2026-09-17,JNJ,268.925
2026-09-17,GOOGM,49.16
2026-09-17,GOOGN,48.93
2026-09-17,INTC,109.86
2026-09-17,MA,565.71
2026-09-17,ABBV,262.21
2026-09-17,ORCL,150.7585
2026-09-17,CSCO,111.23
2026-09-17,PLTR,177.355
2026-09-17,CVX,210.6988
2026-09-17,BAC,57.735
2026-09-17,COST,889.96
2026-09-17,KO,87.68
2026-09-17,DELL,583.83
2026-09-17,CAT,800.485
2026-09-17,MRK,145.88
2026-09-17,PG,146.65
2026-09-17,UNH,378.7975
2026-09-17,LRCX,268.98
2026-09-17,AMAT,416.4807
2026-09-17,GE,316.435
2026-09-17,MS,201.4549
2026-09-17,NFLX,75.82
2026-09-17,PANW,381.78
2026-09-17,HD,305.66
2026-09-17,PM,190.395
2026-09-17,GS,936.95
2026-09-17,WFC,86.585
2026-09-17,RTX,193.94
2026-09-17,ANET,204.225
2026-09-17,CRWD,248.53
2026-09-17,GEV,941.9
2026-09-17,TMO,652.6825
2026-09-17,TXN,260.69
2026-09-17,SNDK,1616.05
2026-09-17,CCZ,64.67
2026-09-17,IBM,238.305
2026-09-17,C,131.5517
2026-09-17,KLAC,167.8
2026-09-17,MRVL,242.3
2026-09-17,AXP,314.18
2026-09-17,LIN,457.865
2026-09-17,AMGN,380.205
2026-09-17,VZ,48.955
2026-09-17,CRM,242.44
2026-09-17,QCOM,189.62
2026-09-17,APH,77.85
2026-09-17,GILD,148.21
2026-09-17,TMUS,171.23
2026-09-17,DIS,106.22
2026-09-17,DE,679.33
2026-09-17,PEP,133.545
2026-09-17,SCHW,103.67
2026-09-17,ADI,365.46
2026-09-17,MCD,249.2781
2026-09-17,T,25.465
2026-09-17,ABT,100.51
2026-09-17,NEE,80.59
2026-09-17,WELL,233.2269
2026-09-17,UNP,279.6365
2026-09-17,SCCO,197.05
2026-09-17,BLK,1050.95
2026-09-17,BA,200.05
2026-09-17,COP,131.52
2026-09-17,PFE,27.645
2026-09-17,WDC,420.26
2026-09-17,DHR,210.295
2026-09-17,UBER,71.12
2026-09-17,NOW,139.28
2026-09-17,TBB,19.48
2026-09-17,TJX,124.52
2026-09-17,ISRG,379.89
2026-09-17,NEM,125.055
2026-09-17,MNST,44.38
2026-09-17,VRTX,513.65
2026-09-17,GLW,150.13
2026-09-17,BMY,63.29
2026-09-17,FTNT,175.415
2026-09-17,BKNG,169.715
2026-09-17,PLD,134.31
2026-09-17,PGR,215.385
2026-09-17,COF,203.58
2026-09-17,LMT,534.93
2026-09-17,SNOW,342.545
2026-09-17,NET,335.875
2026-09-17,SPGI,405.4689
2026-09-17,MDT,92.31
2026-09-17,CVS,91.4
2026-09-17,MPC,414.2922
2026-09-17,PH,922.05
2026-09-17,MO,69.365
2026-09-17,VLO,400.81
2026-09-17,SBUX,96.78
2026-09-17,LOW,196.08
2026-09-17,SYK,281.4
2026-09-17,ADP,271.505
2026-09-17,PSX,267.655
2026-09-17,APP,318.1599
2026-09-17,BNY,152.82
2026-09-17,MCK,881.49
2026-09-17,FCX,71.24
2026-09-17,EQIX,1022.94
2026-09-17,ABNB,167.13
2026-09-17,SO,86.1
2026-09-17,ADBE,248.28
2026-09-17,CME,270.53
2026-09-17,HOOD,107.44
2026-09-17,GD,356.45
2026-09-17,VRT,243.59
2026-09-17,BX,124.83
2026-09-17,HCA,430.24
2026-09-17,USB,59.72
2026-09-17,CEG,261.49
2026-09-17,PNC,230.945
2026-09-17,DUK,117.78
2026-09-17,ELV,417.52
2026-09-17,PWR,614.51
2026-09-17,HWM,225.28
2026-09-17,KKR,98.595
2026-09-17,CSX,47.655
2026-09-17,WMB,71.32
2026-09-17,MAR,334.455
2026-09-17,ICE,152.77
2026-09-17,DASH,197.39
2026-09-17,DDOG,237.995
2026-09-17,UPS,100.42
2026-09-17,WM,212.48
2026-09-17,MMM,163.55
2026-09-17,INTU,315.625
2026-09-17,MRSH,173.81
2026-09-17,EMR,148.315
2026-09-17,EPD,38.305
2026-09-17,CMCSA,23.3019
2026-09-17,BE,279.7
2026-09-17,LITE,915.58
2026-09-17,HPE,61.7137
2026-09-17,AMT,175.19
2026-09-17,MCO,464.565
2026-09-17,REGN,780.9225
2026-09-17,CTAS,197.12
2026-09-17,TRV,377.26
2026-09-17,MDLZ,61.58
2026-09-17,SHW,322.75
2026-09-17,CDNS,281.82
2026-09-17,GM,87.6077
2026-09-17,ECL,274.11
2026-09-17,MSI,463.0859
2026-09-17,ITW,267.09
2026-09-17,EOG,144.02
2026-09-17,APO,127.74
2026-09-17,NOC,525.88
2026-09-17,CVNA,67.435
2026-09-17,CI,278.69
2026-09-17,SNPS,383.81
2026-09-17,ET,21.195
2026-09-17,ROST,228.195
2026-09-17,CMI,529.11
2026-09-17,FDX,307.155
2026-09-17,TGT,158.35
2026-09-17,NSC,316.68
2026-09-17,WBD,28.205
2026-09-17,BRKRP,459.04
2026-09-17,CL,87.005
2026-09-17,KMI,31.05
2026-09-17,HLT,305.975
2026-09-17,ORLY,84.92
2026-09-17,DLR,183.1
2026-09-17,RCL,252.765
2026-09-17,RSG,218.39
2026-09-17,SPG,204.3999
2026-09-17,AEP,120.85
2026-09-17,HON,205.85
2026-09-17,APD,287.13
2026-09-17,MRNA,160.09
2026-09-17,ALL,252.195
